,id_food,nutriscore_grade,random_users_id,random_users_ratings
484,49050,e,1,2
485,35431,e,5,3
486,42991,d,3,4
487,17377,d,5,2
488,41683,b,8,1
489,24831,b,4,4
490,36493,c,4,3
491,18017,e,9,1
492,12929,d,9,1
493,46850,d,4,1
494,48785,d,2,4
495,8884,c,2,1
496,91,d,7,1
497,14392,a,1,4
498,22984,a,1,4
499,24440,d,5,1
500,26010,c,7,3
501,28060,d,2,2
502,28855,d,2,3
503,29754,c,4,4
504,30037,c,6,1
505,34909,d,6,2
506,36726,d,1,1
507,40874,c,3,4
508,46949,b,1,2
509,49137,a,1,4
510,51447,e,1,4
511,45972,e,3,2
512,5091,d,5,2
513,12201,d,6,4
514,16696,d,5,3
515,24827,e,2,2
516,25183,d,3,3
517,38774,d,4,1
518,42598,d,2,2
519,44747,d,8,1
520,47622,d,3,4
521,50773,d,2,2
522,3835,b,6,4
523,24867,b,3,2
524,28137,a,4,1
525,28563,a,9,2
526,38901,a,6,1
527,45073,a,7,3
528,48936,b,4,2
529,49454,a,4,2
530,50975,a,6,3
531,51543,a,4,4
532,3587,d,9,4
533,9732,d,8,2
534,28045,d,2,1
535,29183,d,3,2
536,31409,d,3,2
537,35234,a,4,2
538,42754,d,2,4
539,46634,b,8,3
540,46662,a,8,1
541,46766,c,5,2
542,50770,d,6,2
543,19203,b,2,2
544,5310,e,8,3
545,19841,e,2,3
546,50416,c,1,1
547,1730,c,5,3
548,37629,e,5,3
549,40563,a,8,4
550,17696,c,3,3
551,48328,b,1,2
552,204,a,5,3
553,33255,d,9,3
554,26712,d,8,1
555,27982,e,4,1
556,33788,e,8,1
557,34647,e,5,3
558,39716,e,1,2
559,42688,e,2,4
560,46477,e,2,2
561,47371,e,1,1
562,22465,b,3,2
563,36199,c,1,1
564,18603,b,6,2
565,29061,e,4,1
566,34936,e,6,3
567,19409,b,7,4
568,2466,d,3,3
569,4018,d,9,2
570,16541,a,7,4
571,18210,d,6,3
572,24799,d,1,3
573,26970,d,4,3
574,31838,d,3,1
575,31846,d,1,2
576,32901,d,1,3
577,38843,d,9,4
578,47992,a,3,1
579,49002,d,1,2
580,50510,d,6,2
581,51449,d,4,2
582,12910,e,1,4
583,25259,e,3,4
584,26753,e,7,3
585,34254,e,9,3
586,34312,e,8,2
587,37593,e,2,3
588,47220,e,2,3
589,11449,d,4,4
590,11756,c,4,3
591,3789,d,6,1
592,47196,d,1,3
593,12849,e,1,4
594,13683,a,4,1
595,21075,c,4,2
596,7779,c,8,2
597,46320,c,6,4
598,50682,c,4,3
599,2508,a,5,4
600,3403,d,5,4
601,9326,d,5,2
602,14317,e,2,1
603,15729,a,8,1
604,16600,d,2,1
605,17074,d,3,3
606,17400,c,9,3
607,18235,d,2,3
608,19393,b,3,1
609,24537,c,6,1
610,24638,b,4,4
611,25190,c,9,1
612,25456,c,8,4
613,25691,d,6,2
614,25860,e,9,3
615,25869,c,9,1
616,25884,a,7,4
617,26203,a,6,3
618,27322,a,2,1
619,27676,a,4,2
620,27771,c,1,2
621,28453,c,2,1
622,28580,a,7,3
623,28793,a,3,3
624,31704,c,8,3
625,31861,a,3,4
626,32395,a,3,2
627,33950,c,3,4
628,36684,b,3,1
629,38742,d,3,1
630,39108,a,1,2
631,39740,d,7,1
632,42209,b,4,2
633,43451,d,2,2
634,45976,d,6,2
635,46612,a,8,4
636,47091,c,4,3
637,48160,a,3,3
638,48185,a,2,4
639,49871,a,5,2
640,51431,a,8,2
641,46913,c,6,2
642,17308,d,6,2
643,31048,c,5,4
644,47280,c,1,1
645,28689,d,5,3
646,46191,c,9,3
647,49498,c,2,4
648,17186,a,4,4
649,39181,c,8,3
650,4091,d,6,2
651,29782,d,4,2
652,3211,e,8,4
653,3401,b,9,3
654,16399,e,4,1
655,49788,a,9,2
656,22308,b,4,2
657,22287,a,6,2
658,46661,b,5,4
659,38274,d,2,1
660,45040,b,2,1
661,101,d,5,3
662,1511,b,8,4
663,5318,d,9,4
664,7529,e,4,3
665,15338,c,5,1
666,15343,c,5,3
667,18119,e,7,1
668,24256,e,4,4
669,25084,d,8,2
670,26900,d,9,1
671,30122,b,1,4
672,35144,e,1,1
673,35292,b,4,1
674,36730,d,4,1
675,38209,e,8,2
676,39192,b,8,3
677,46629,a,4,4
678,47744,d,3,4
679,48079,b,3,2
680,51382,d,3,2
681,51448,d,1,3
682,47190,c,2,1
683,25093,d,9,2
684,2664,c,1,3
685,21014,c,1,4
686,29115,d,3,4
687,36081,d,1,4
688,45335,e,3,4
689,5324,d,6,1
690,12840,d,1,2
691,35240,e,1,1
692,38765,e,5,1
693,47235,e,7,2
694,26322,a,3,2
695,1162,e,3,1
696,4076,d,8,3
697,5075,d,1,3
698,9096,d,7,1
699,14997,e,7,1
700,15483,c,8,2
701,18689,d,9,4
702,24949,d,3,3
703,25425,d,7,1
704,32870,d,1,1
705,37227,d,1,3
706,37362,e,2,4
707,49268,b,4,4
708,49365,c,7,2
709,12482,c,8,1
710,22240,e,9,4
711,23684,b,9,2
712,28687,e,8,3
713,38130,d,2,4
714,41576,b,1,3
715,667,d,1,3
716,50173,d,9,1
717,36068,e,5,1
718,50964,e,2,3
719,16808,d,8,1
720,14111,a,7,2
721,27960,a,8,4
722,28387,a,8,4
723,30181,a,2,4
724,38026,a,2,1
725,39643,a,1,1
726,40886,d,8,4
727,32229,c,7,1
728,31858,b,1,1
729,5977,d,7,3
730,51906,d,8,3
731,5752,d,4,3
732,20450,d,2,3
733,23691,d,2,2
734,25780,c,2,2
735,34772,e,4,4
736,47006,b,6,1
737,49878,d,6,3
738,1849,b,3,2
739,3775,b,3,2
740,1893,d,4,4
741,23536,a,5,2
742,28536,c,2,3
743,49331,d,3,4
744,51008,d,9,2
745,29561,c,3,4
746,3997,c,4,4
747,35561,b,6,2
748,36088,c,2,3
749,36678,b,7,4
750,36889,c,3,2
751,51162,b,1,2
752,51938,d,8,4
753,3404,a,4,4
754,13193,e,3,3
755,11977,e,6,3
756,26608,c,3,3
757,40378,a,3,2
758,2300,d,9,3
759,5711,c,6,2
760,33385,e,1,1
761,37684,c,7,1
762,44670,e,5,4
763,46750,c,4,1
764,50011,b,9,1
765,50506,d,2,4
766,32415,e,8,1
767,3842,a,6,2
768,3886,e,3,3
769,38307,b,7,4
770,47943,b,9,2
771,49698,b,3,3
772,46171,a,2,3
773,28776,a,1,4
774,40441,d,1,4
775,36926,c,1,2
776,40311,c,3,3
777,3945,c,4,3
778,5321,c,6,3
779,5385,c,1,2
780,5512,c,7,4
781,25630,d,4,3
782,27831,b,4,4
783,27833,d,6,1
784,31523,d,9,2
785,31534,c,9,3
786,40684,c,2,4
787,41949,c,9,2
788,32554,a,8,1
789,5245,d,9,4
790,20890,d,3,2
791,21336,d,9,3
792,24463,d,8,2
793,25323,d,7,4
794,26642,d,9,4
795,27742,d,6,3
796,28175,d,9,3
797,28528,d,8,4
798,30464,d,9,1
799,32002,d,1,2
800,33644,d,7,1
801,34207,d,4,3
802,40952,d,8,3
803,46057,d,3,2
804,48664,d,9,2
805,2169,c,3,1
806,18565,d,7,4
807,18568,e,5,4
808,38364,e,3,2
809,47957,d,4,4
810,45638,c,8,1
811,31071,d,4,3
812,22510,c,5,2
813,21021,d,6,3
814,32258,e,1,3
815,36724,d,7,1
816,13007,a,6,4
817,593,e,6,4
818,1594,b,6,1
819,1891,d,4,1
820,3262,c,7,2
821,3901,e,3,1
822,4387,c,1,2
823,4678,c,6,3
824,5122,e,8,2
825,11318,e,1,2
826,11396,e,6,3
827,12535,c,5,4
828,12597,b,6,1
829,12653,c,2,3
830,13044,b,8,2
831,16132,c,5,3
832,16167,c,6,1
833,16866,e,9,4
834,16871,c,4,1
835,16949,c,2,3
836,17105,d,3,4
837,17571,e,5,3
838,17590,c,8,3
839,17879,c,6,3
840,18205,e,9,2
841,20370,d,7,2
842,20391,e,7,4
843,20924,c,3,4
844,21004,e,6,3
845,21691,c,5,4
846,22456,e,1,4
847,22718,a,6,1
848,23509,b,5,1
849,24566,a,6,4
850,24956,c,5,1
851,25786,d,5,4
852,26038,d,1,1
853,26413,b,3,2
854,27263,b,9,3
855,27474,c,2,1
856,27642,c,6,2
857,28460,e,4,4
858,28523,d,6,1
859,28584,c,6,3
860,28901,c,8,4
861,29877,a,6,4
862,30201,c,1,1
863,30410,c,9,3
864,30652,c,6,3
865,30654,d,8,2
866,30879,c,1,4
867,30931,c,8,1
868,30950,d,1,1
869,31917,a,7,3
870,31955,c,9,4
871,32212,c,4,1
872,33328,d,5,4
873,33363,c,9,3
874,33412,e,7,1
875,33707,c,8,2
876,34061,c,6,3
877,34159,c,4,1
878,34456,d,7,4
879,34457,c,1,1
880,34573,e,9,1
881,34598,e,8,1
882,34780,b,2,1
883,34901,e,3,2
884,35309,d,8,3
885,35530,c,9,4
886,35815,a,2,3
887,35925,c,3,2
888,35999,d,3,2
889,36211,b,1,1
890,36743,d,1,3
891,37106,c,2,1
892,37141,d,8,3
893,37498,d,8,4
894,37778,c,3,2
895,38265,c,6,2
896,38273,c,7,3
897,38800,d,8,4
898,39343,e,1,4
899,39535,d,3,3
900,39615,c,4,2
901,39946,c,2,4
902,39989,c,4,2
903,39991,c,6,1
904,40279,d,5,3
905,40391,d,7,3
906,41134,c,7,4
907,41146,c,7,3
908,41149,c,4,2
909,41382,d,1,2
910,42768,a,4,4
911,43502,d,1,4
912,43648,d,7,2
913,43917,c,3,1
914,43938,d,6,4
915,44368,a,4,3
916,45011,c,9,4
917,45372,c,6,1
918,46507,e,2,2
919,46878,d,4,2
920,47285,c,6,1
921,47491,d,1,1
922,47521,e,9,2
923,47632,d,2,1
924,47848,c,5,2
925,48332,d,9,4
926,49377,d,3,1
927,49621,c,3,3
928,49773,c,8,4
929,49971,d,8,3
930,50422,b,2,3
931,50660,d,9,3
932,51092,c,4,4
933,51305,e,3,3
934,51466,c,5,1
935,51529,c,2,3
936,16677,d,7,1
937,35922,a,4,2
938,43610,d,5,4
939,17568,b,5,2
940,23590,a,6,3
941,45400,d,9,3
942,16670,c,3,1
943,29114,e,2,3
944,35841,d,2,3
945,46517,d,1,3
946,27146,e,2,1
947,49393,e,2,4
948,1447,c,4,4
949,2979,e,3,4
950,47886,b,6,3
951,5678,c,7,1
952,5416,a,4,3
953,4222,d,5,2
954,9739,d,9,3
955,28954,b,9,4
956,31912,b,1,2
957,12907,d,8,4
958,31958,d,6,2
959,1362,c,8,2
960,3035,a,5,1
961,27787,a,2,1
962,37982,a,3,3
963,49983,a,5,1
964,51178,d,3,1
965,31466,b,5,4
966,23599,d,1,3
967,40390,e,5,3
968,454,b,6,1
969,3739,c,3,4
970,16512,a,4,4
971,18105,c,7,3
972,34187,d,1,3
973,48524,e,8,2
974,16964,c,2,3
975,45808,c,1,3
976,34900,e,6,4
977,1031,a,3,3
978,1415,a,3,2
979,2430,a,6,3
980,8459,a,6,4
981,11355,a,4,1
982,11910,a,2,2
983,12476,a,3,3
984,15263,a,8,1
985,16452,a,2,2
986,16849,a,2,4
987,19821,a,4,1
988,19824,a,9,2
989,20494,a,9,3
990,21165,a,3,2
991,21168,a,8,1
992,21466,a,7,3
993,21857,a,9,2
994,22050,a,3,4
995,22273,a,6,2
996,22731,a,7,3
997,22991,a,6,4
998,22993,a,2,3
999,22994,a,9,4
1000,22997,a,2,3
1001,23376,e,3,2
1002,23378,e,1,3
1003,23534,a,5,3
1004,23535,a,7,3
1005,23583,a,5,2
1006,24218,a,8,4
1007,24219,a,3,2
1008,24839,a,2,3
1009,25067,b,9,2
1010,25134,a,8,4
1011,25162,a,8,4
1012,25287,b,3,1
1013,25911,a,7,2
1014,26022,a,6,2
1015,26068,a,7,1
1016,26140,a,4,4
1017,26141,a,2,2
1018,26143,a,3,1
1019,26145,a,5,3
1020,26524,a,2,1
1021,27374,a,5,3
1022,27394,a,7,4
1023,27477,a,7,4
1024,27588,a,1,1
1025,27819,a,5,1
1026,27976,a,7,2
1027,28041,a,4,1
1028,28042,a,3,1
1029,29309,a,6,2
1030,30643,a,9,4
1031,30722,a,4,3
1032,30940,a,8,2
1033,31643,a,8,1
1034,31992,a,8,2
1035,32428,a,3,1
1036,33394,c,8,3
1037,33635,a,8,3
1038,33755,a,3,4
1039,33849,a,9,4
1040,33853,a,8,2
1041,33869,a,5,4
1042,34098,a,1,1
1043,34287,a,4,4
1044,34914,a,7,2
1045,36885,a,4,2
1046,37437,a,6,1
1047,39580,a,8,4
1048,42070,a,3,2
1049,42366,a,9,2
1050,42431,a,8,2
1051,43111,a,2,4
1052,43161,a,6,4
1053,43198,a,6,3
1054,44217,a,5,4
1055,44534,a,2,2
1056,47471,a,1,2
1057,48663,a,9,2
1058,48993,a,6,3
1059,49600,a,2,2
1060,50627,a,5,4
1061,52454,a,9,1
1062,44909,d,5,1
1063,15211,b,2,3
1064,20277,a,4,1
1065,23417,c,2,4
1066,23651,b,2,1
1067,25335,b,1,3
1068,36658,d,9,1
1069,43673,b,6,1
1070,45387,a,6,4
1071,46602,a,6,1
1072,46647,a,5,1
1073,50128,a,4,3
1074,50934,a,4,4
1075,28022,e,9,1
1076,52064,e,7,3
1077,3209,b,5,1
1078,5673,d,4,4
1079,37120,e,2,1
1080,33659,d,6,3
1081,2162,d,1,4
1082,4681,a,4,2
1083,5397,d,7,4
1084,13959,e,5,3
1085,15787,e,5,3
1086,18013,e,6,4
1087,22931,d,1,3
1088,25373,d,6,3
1089,26558,b,2,4
1090,28492,d,5,3
1091,30568,d,2,4
1092,30886,d,6,3
1093,32727,d,7,4
1094,32833,d,2,4
1095,34145,d,8,2
1096,38238,d,7,1
1097,42060,a,8,3
1098,42276,d,7,1
1099,43899,c,9,4
1100,45988,a,1,3
1101,49169,c,7,2
1102,49401,d,8,1
1103,49741,e,3,1
1104,50841,b,5,2
1105,51407,d,4,3
1106,16493,b,7,2
1107,16008,c,2,2
1108,17748,d,7,4
1109,51194,d,4,4
1110,51161,d,7,4
1111,41749,d,8,2
1112,47202,d,8,2
1113,27290,c,9,4
1114,5776,d,8,1
1115,46544,c,2,2
1116,22662,d,3,2
1117,3727,a,7,1
1118,3728,d,4,1
1119,4426,d,1,1
1120,6201,d,2,4
1121,9232,a,5,4
1122,15518,a,6,4
1123,16424,d,6,2
1124,17853,d,3,4
1125,20431,d,7,3
1126,20896,d,3,3
1127,21234,d,1,2
1128,21263,d,5,2
1129,21671,c,8,4
1130,24052,d,7,1
1131,25293,d,3,3
1132,29016,e,2,3
1133,30043,a,7,2
1134,30526,d,2,3
1135,32037,d,4,1
1136,34196,e,1,2
1137,35620,b,8,3
1138,35640,b,7,4
1139,35954,a,7,3
1140,36182,d,5,4
1141,37244,d,9,1
1142,43538,e,3,4
1143,43621,a,3,1
1144,43756,d,6,4
1145,44034,d,2,2
1146,44837,a,8,2
1147,45652,d,9,4
1148,46008,a,2,4
1149,50944,d,6,1
1150,21337,d,1,1
1151,1509,c,9,1
1152,9309,c,9,3
1153,27027,c,1,4
1154,29014,c,6,3
1155,36363,c,5,3
1156,47924,c,2,2
1157,51733,e,9,2
1158,4230,d,1,3
1159,18753,b,8,2
1160,19924,d,5,4
1161,20445,d,9,2
1162,22468,b,3,2
1163,30601,d,9,4
1164,35566,d,4,1
1165,44005,d,9,4
1166,24811,b,2,2
1167,45068,b,8,4
1168,2315,d,4,2
1169,15674,e,1,3
1170,35944,d,2,4
1171,51435,c,3,2
1172,45970,e,7,4
1173,6265,d,3,3
1174,15325,c,7,2
1175,15761,e,6,2
1176,15817,e,8,3
1177,15819,e,1,4
1178,20281,c,6,4
1179,23451,c,2,2
1180,24407,e,4,3
1181,26614,b,6,4
1182,26786,e,9,2
1183,28965,c,1,2
1184,32081,e,6,1
1185,32393,d,5,2
1186,34347,c,8,4
1187,37920,c,6,3
1188,38934,c,2,1
1189,39520,e,4,2
1190,47823,e,7,3
1191,49057,c,7,1
1192,50076,e,7,2
1193,51258,e,5,1
1194,36296,c,2,2
1195,27874,d,7,4
1196,16037,a,1,2
1197,5523,b,1,2
1198,39503,b,4,3
1199,17599,e,2,3
1200,7783,c,6,4
1201,16121,d,9,2
1202,23688,d,5,4
1203,24793,c,5,2
1204,26406,d,9,1
1205,26451,c,2,1
1206,34399,d,6,1
1207,37146,d,2,4
1208,42308,c,6,4
1209,45361,c,7,4
1210,47591,c,1,2
1211,48856,d,7,3
1212,4259,d,5,2
1213,15386,c,7,3
1214,508,e,2,4
1215,6595,c,2,2
1216,18251,b,2,2
1217,23633,e,6,3
1218,43214,e,5,4
1219,36217,b,7,1
1220,12541,d,1,1
1221,5204,a,5,4
1222,9322,d,3,4
1223,39094,a,9,3
1224,46489,d,7,2
1225,46490,d,9,2
1226,6895,d,3,3
1227,24607,d,6,3
1228,37247,d,6,4
1229,49938,d,9,1
1230,35485,b,5,1
1231,48248,c,9,2
1232,44776,c,1,2
1233,46220,c,3,3
1234,46650,a,3,3
1235,17518,d,3,2
1236,4011,d,5,2
1237,5354,d,4,1
1238,15514,a,6,4
1239,18750,b,7,4
1240,23382,b,4,3
1241,24788,c,8,1
1242,27426,b,5,4
1243,29103,e,5,4
1244,35065,d,4,4
1245,35953,a,1,1
